remark,"CSV-Import-Export"
remark,"Date = Fri Feb 16 07:47:56 2024"
remark,"Version = RSLogix 5000 v32.04"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Local:10:C,"","AB:1756_IRT8I:C:0","","(ExternalAccess := Read/Write)"
COMMENT,,Local:10:C,"SLOT 10 RTD MODULE CHANNEL 0 CHANNEL DISABLE STATUS BIT",,"Local:10:C.CH[0].DISABLE"
COMMENT,,Local:10:C,"SLOT 10 RTD MODULE CHANNEL 1 CHANNEL DISABLE STATUS BIT",,"Local:10:C.CH[1].DISABLE"
COMMENT,,Local:10:C,"SLOT 10 RTD MODULE CHANNEL 2 CHANNEL DISABLE STATUS BIT",,"Local:10:C.CH[2].DISABLE"
COMMENT,,Local:10:C,"SLOT 10 RTD MODULE CHANNEL 3 CHANNEL DISABLE STATUS BIT",,"Local:10:C.CH[3].DISABLE"
COMMENT,,Local:10:C,"SLOT 10 RTD MODULE CHANNEL 4 CHANNEL DISABLE STATUS BIT",,"Local:10:C.CH[4].DISABLE"
COMMENT,,Local:10:C,"SLOT 10 RTD MODULE CHANNEL 5 CHANNEL DISABLE STATUS BIT",,"Local:10:C.CH[5].DISABLE"
COMMENT,,Local:10:C,"SLOT 10 RTD MODULE CHANNEL 0 CHANNEL DISABLE STATUS BIT",,"Local:10:C.CH[6].DISABLE"
COMMENT,,Local:10:C,"SLOT 10 RTD MODULE CHANNEL 0 CHANNEL DISABLE STATUS BIT",,"Local:10:C.CH[7].DISABLE"
TAG,,Local:10:I,"","AB:1756_IRT8I:I:0","","(EngineeringUnit.CH[0].DATA := ""�F"", EngineeringUnit.CH[1].DATA := ""�F"", EngineeringUnit.CH[2].DATA := ""�F"", EngineeringUnit.CH[3].DATA := ""�F"", EngineeringUnit.CH[4].DATA := ""�F"", EngineeringUnit.CH[5].DATA := ""�F"", EngineeringUnit.CH[6].DATA := ""�F"", EngineeringUnit.CH[7].DATA := ""�F"", ExternalAccess := Read/Write)"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 0 CHANNEL FAULT BIT",,"Local:10:I.CH[0].FAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 0 CHANNEL CALIBRATION FAULT BIT",,"Local:10:I.CH[0].CALIBRATIONFAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 1 CHANNEL FAULT BIT",,"Local:10:I.CH[1].FAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 1 CHANNEL CALIBRATION FAULT BIT",,"Local:10:I.CH[1].CALIBRATIONFAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 2 CHANNEL FAULT BIT",,"Local:10:I.CH[2].FAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 2 CHANNEL CALIBRATION FAULT BIT",,"Local:10:I.CH[2].CALIBRATIONFAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 3 CHANNEL FAULT BIT",,"Local:10:I.CH[3].FAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 3 CHANNEL CALIBRATION FAULT BIT",,"Local:10:I.CH[3].CALIBRATIONFAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 4 CHANNEL FAULT BIT",,"Local:10:I.CH[4].FAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 4 CHANNEL CALIBRATION FAULT BIT",,"Local:10:I.CH[4].CALIBRATIONFAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 5 CHANNEL FAULT BIT",,"Local:10:I.CH[5].FAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 5 CHANNEL CALIBRATION FAULT BIT",,"Local:10:I.CH[5].CALIBRATIONFAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 6 CHANNEL FAULT BIT",,"Local:10:I.CH[6].FAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 6 CHANNEL CALIBRATION FAULT BIT",,"Local:10:I.CH[6].CALIBRATIONFAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 7 CHANNEL FAULT BIT",,"Local:10:I.CH[7].FAULT"
COMMENT,,Local:10:I,"SLOT 10 RTD MODULE CHANNEL 7 CHANNEL CALIBRATION FAULT BIT",,"Local:10:I.CH[7].CALIBRATIONFAULT"
TAG,,Local:10:O,"","AB:1756_IRT8I:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:11:C,"","AB:1756_IF8I:C:0","","(ExternalAccess := Read/Write)"
