remark,"CSV-Import-Export"
remark,"Date = Mon Jan 22 08:34:04 2024"
remark,"Version = RSLogix 5000 v32.04"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Local:11:C,"","AB:1756_IF8I:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:11:I,"","AB:1756_IF8I:I:0","","(EngineeringUnit.CH[0].DATA := ""%"", EngineeringUnit.CH[1].DATA := ""%"", EngineeringUnit.CH[2].DATA := ""%"", EngineeringUnit.CH[3].DATA := ""%"", EngineeringUnit.CH[4].DATA := ""%"", EngineeringUnit.CH[5].DATA := ""%"", EngineeringUnit.CH[6].DATA := ""%"", EngineeringUnit.CH[7].DATA := ""%"", ExternalAccess := Read/Write)"
COMMENT,,Local:11:I,"LOW SUCTION PRESSURE TRANSDUCER",,"Local:11:I.CH[0]"
COMMENT,,Local:11:I,"HIGH SUCTION PRESSURE TRANSDUCER",,"Local:11:I.CH[1]"
COMMENT,,Local:11:I,"DISCHARGE PRESSURE TRANSDUCER",,"Local:11:I.CH[2]"
COMMENT,,Local:11:I,"VESSEL LEVEL CONTROL",,"Local:11:I.CH[3]"
TAG,,Local:11:O,"","AB:1756_IF8I:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:12:C,"","AB:1756_OF8I:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:12:I,"","AB:1756_OF8I:I:1","","(ExternalAccess := Read/Write)"
TAG,,Local:12:O,"","AB:1756_OF8I:O:0","","(EngineeringUnit.CH[0].DATA := ""%"", EngineeringUnit.CH[1].DATA := ""%"", EngineeringUnit.CH[2].DATA := ""%"", EngineeringUnit.CH[3].DATA := ""%"", EngineeringUnit.CH[4].DATA := ""%"", EngineeringUnit.CH[5].DATA := ""%"", EngineeringUnit.CH[6].DATA := ""%"", EngineeringUnit.CH[7].DATA := ""%"", ExternalAccess := Read/Write)"
TAG,,Local:2:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
TAG,,Local:2:I,"","AB:1756_DI:I:0","","(ExternalAccess := Read/Write)"
COMMENT,,Local:2:I,"COMPRESSOR 1 HAND MODE",,"Local:2:I.DATA.0"
COMMENT,,Local:2:I,"COMPRESSOR 1 AUTO MODE",,"Local:2:I.DATA.1"
COMMENT,,Local:2:I,"COMPRESSOR #2 SELECTOR SWITCH IN HAND MODE POSITION",,"Local:2:I.DATA.2"
COMMENT,,Local:2:I,"COMPRESSOR #2 SELECTOR SWITCH IN AUTO MODE POSITION",,"Local:2:I.DATA.3"
COMMENT,,Local:2:I,"COMPRESSOR #3 SELECTOR SWITCH IN HAND MODE POSITION",,"Local:2:I.DATA.4"
COMMENT,,Local:2:I,"COMPRESSOR #3 SELECTOR SWITCH IN AUTO MODE POSITION",,"Local:2:I.DATA.5"
COMMENT,,Local:2:I,"CONDENSER PUMP #1 HAND MODE",,"Local:2:I.DATA.8"
COMMENT,,Local:2:I,"CONDENSER PUMP #1 IN AUTO MODE",,"Local:2:I.DATA.9"
COMMENT,,Local:2:I,"CONDENSER PUMP #2 HAND MODE",,"Local:2:I.DATA.10"
COMMENT,,Local:2:I,"CONDENSER PUMP #2 IN AUTO MODE",,"Local:2:I.DATA.11"
COMMENT,,Local:2:I,"CONDENSER FAN HAND MODE",,"Local:2:I.DATA.12"
COMMENT,,Local:2:I,"CONDENSER FAN IN AUTO MODE",,"Local:2:I.DATA.13"
COMMENT,,Local:2:I,"FREEZER #1 HAND MODE",,"Local:2:I.DATA.14"
COMMENT,,Local:2:I,"FREEZER #1 IN AUTO MODE",,"Local:2:I.DATA.15"
TAG,,Local:3:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
TAG,,Local:3:I,"","AB:1756_DI:I:0","","(ExternalAccess := Read/Write)"
COMMENT,,Local:3:I,"FREEZER #2 HAND MODE",,"Local:3:I.DATA.0"
COMMENT,,Local:3:I,"FREEZER #2 IN AUTO MODE",,"Local:3:I.DATA.1"
COMMENT,,Local:3:I,"FREEZER #3 HAND MODE",,"Local:3:I.DATA.2"
COMMENT,,Local:3:I,"FREEZER #3 IN AUTO MODE",,"Local:3:I.DATA.3"
COMMENT,,Local:3:I,"FREEZER #4 HAND MODE",,"Local:3:I.DATA.4"
COMMENT,,Local:3:I,"FREEZER #4 AUTO POSITION",,"Local:3:I.DATA.5"
COMMENT,,Local:3:I,"DOCK #1 HAND MODE",,"Local:3:I.DATA.10"
COMMENT,,Local:3:I,"DOCK #1 AUTO MODE",,"Local:3:I.DATA.11"
COMMENT,,Local:3:I,"DOCK #2 HAND MODE",,"Local:3:I.DATA.12"
COMMENT,,Local:3:I,"DOCK #2 AUTO MODE",,"Local:3:I.DATA.13"
COMMENT,,Local:3:I,"DOCK #3 HAND MODE",,"Local:3:I.DATA.14"
COMMENT,,Local:3:I,"DOCK #3 AUTO MODE",,"Local:3:I.DATA.15"
