I:1/0,0,,"MODBUS MODULE REGISTER TRANSFER ENABLE BIT  ",0,,,0,
I:2/0,0,,"COMPRESSOR 1 HAND MODE   ",0,,,0,
I:2/1,0,,"COMPRESSOR 1 AUTO MODE   ",0,,,0,
I:2/2,0,,"COMPRESSOR #2 SELECTOR SWITCH IN HAND MODE POSITION ",0,,,0,
I:2/3,0,,"COMPRESSOR #2 SELECTOR SWITCH IN AUTO MODE POSITION ",0,,,0,
I:2/4,0,,"COMPRESSOR #3 SELECTOR SWITCH IN HAND MODE POSITION ",0,,,0,
I:2/5,0,,"COMPRESSOR #3 SELECTOR SWITCH IN AUTO MODE POSITION ",0,,,0,
I:2/8,0,,"CONDENSER PUMP #1 HAND MODE  ",0,,,0,
I:2/9,0,,"CONDENSER PUMP #1 IN AUTO MODE  ",0,,,0,
I:2/10,0,,"CONDENSER PUMP #2 HAND MODE  ",0,,,0,
I:2/11,0,,"CONDENSER PUMP #2 IN AUTO MODE  ",0,,,0,
I:2/12,0,,"CONDENSER FAN HAND MODE  ",0,,,0,
I:2/13,0,,"CONDENSER FAN IN AUTO MODE  ",0,,,0,
I:2/14,0,,"FREEZER #1 HAND MODE   ",0,,,0,
I:2/15,0,,"FREEZER #1 IN AUTO MODE   ",0,,,0,
I:3/0,0,,"FREEZER #2 HAND MODE   ",0,,,0,
I:3/1,0,,"FREEZER #2 IN AUTO MODE   ",0,,,0,
I:3/2,0,,"FREEZER #3 HAND MODE   ",0,,,0,
I:3/3,0,,"FREEZER #3 IN AUTO MODE   ",0,,,0,
I:3/4,0,,"FREEZER #4 HAND MODE   ",0,,,0,
I:3/5,0,,"FREEZER #4 AUTO POSITION   ",0,,,0,
I:3/10,0,,"DOCK #1 HAND MODE   ",0,,,0,
I:3/11,0,,"DOCK #1 AUTO MODE   ",0,,,0,
I:3/12,0,,"DOCK #2 HAND MODE   ",0,,,0,
I:3/13,0,,"DOCK #2 AUTO MODE   ",0,,,0,
I:3/14,0,,"DOCK #3 HAND MODE   ",0,,,0,
I:3/15,0,,"DOCK #3 AUTO MODE   ",0,,,0,
I:4/0,0,,"COOLER HAND MODE   ",0,,,0,
I:4/1,0,,"COOLER AUTO MODE   ",0,,,0,
I:4/2,0,,"PALLETIZER HAND MODE   ",0,,,0,
I:4/3,0,,"PALLETIZER AUTO MODE   ",0,,,0,
I:4/4,0,,"CONDENSER PUMP #1 RUN FEEDBACK 1 = OK ",0,,,0,
I:4/5,0,,"CONDENSER PUMP #2 RUN FEEDBACK 1 = OK ",0,,,0,
I:4/6,0,,"CONDENSER FAN RUN FEEDBACK  ",0,,,0,
I:4/7,0,,"FREEZER #1 FAN RUN FEEDBACK OK  ",0,,,0,
I:4/8,0,,"FREEZER #2 FAN RUN FEEDBACK  ",0,,,0,
I:4/9,0,,"FREEZER #3 FAN RUN FEEDBACK OK  ",0,,,0,
I:4/10,0,,"FREEZER #4 FAN RUN FEEDBACK OK  ",0,,,0,
I:4/11,0,,"    ",0,,,0,
I:4/13,0,,"DOCK #1 FAN RUN FEEDBACK OK  ",0,,,0,
I:4/14,0,,"DOCK #2 FAN RUN FEEDBACK OK  ",0,,,0,
I:4/15,0,,"DOCK #3 FAN RUN FEEDBACK OK  ",0,,,0,
I:5/0,0,,"COOLER FAN RUN FEEDBACK OK  ",0,,,0,
I:5/1,0,,"PALLETIZER FAN RUN FEEDBACK OK  ",0,,,0,
I:5/2,0,,"CONTROL POWER PRESENT (1=OK) ",0,,,0,
I:5/3,0,,"EMERGENCY STOP NOT PRESSED (1=OK) ",0,,,0,
I:5/5,0,,"AMMONIA DETECTOR ALARM   ",0,,,0,
I:5/6,0,,"COMPRESSOR 1 RUN SIGNAL   ",0,,,0,
I:5/7,0,,"COMPRESSOR 1 SAFETIES 1 = OK  ",0,,,0,
I:10.0,0,,"FREEZER TEMPERATURE SENSOR  ",0,,,0,
I:10/0,0,,"AU-1A AUTO SW    ",0,,,0,
I:10.1,0,,"COOLER TEMPERATURE SENSOR  ",0,,,0,
I:10.2,0,,"DOCK TEMPERATURE SENSOR  ",0,,,0,
I:10.3,0,,"PALLETIZING TEMPERATURE SENSOR  ",0,,,0,
I:10/139,0,,"SLOT 10 RTD MODULE CHANNEL 0 CHANNEL ENABLE STATUS BIT",0,,,0,
I:10/140,0,,"SLOT 10 RTD MODULE CHANNEL 0 CALIBRATE ERROR STATUS BIT",0,,,0,
I:10/141,0,,"SLOT 10 RTD MODULE CHANNEL 0 BROKEN INPUT STATUS BIT",0,,,0,
I:10/142,0,,"SLOT 10 RTD MODULE CHANNEL 0 OUT OF RANGE STATUS BIT",0,,,0,
I:10/143,0,,"SLOT 10 RTD MODULE CHANNEL 0 CONFIGURE ERROR STATUS BIT",0,,,0,
I:10/155,0,,"SLOT 10 RTD MODULE CHANNEL 1 CHANNEL ENABLE STATUS BIT",0,,,0,
I:10/156,0,,"SLOT 10 RTD MODULE CHANNEL 1 CALIBRATE ERROR STATUS BIT",0,,,0,
I:10/157,0,,"SLOT 10 RTD MODULE CHANNEL 1 BROKEN INPUT STATUS BIT",0,,,0,
I:10/158,0,,"SLOT 10 RTD MODULE CHANNEL 1 OUT OF RANGE STATUS BIT",0,,,0,
I:10/159,0,,"SLOT 10 RTD MODULE CHANNEL 1 CONFIGURE ERROR STATUS BIT",0,,,0,
I:10/171,0,,"SLOT 10 RTD MODULE CHANNEL 2 CHANNEL ENABLE STATUS BIT",0,,,0,
I:10/172,0,,"SLOT 10 RTD MODULE CHANNEL 2 CALIBRATE ERROR STATUS BIT",0,,,0,
